time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-09 00:00:00+00:00,59,6,14,3
2025-05-10 00:00:00+00:00,64,9,2,2
2025-05-11 00:00:00+00:00,94,11,27,5
2025-05-12 00:00:00+00:00,3,3,24,4
2025-05-13 00:00:00+00:00,60,7,2,2
2025-05-14 00:00:00+00:00,95,15,5,2
2025-05-15 00:00:00+00:00,34,8,5,3
2025-05-16 00:00:00+00:00,182,20,41,2
2025-05-17 00:00:00+00:00,63,10,12,3
2025-05-18 00:00:00+00:00,237,27,112,2
2025-05-19 00:00:00+00:00,36,5,19,3
2025-05-20 00:00:00+00:00,3,3,5,3
2025-05-21 00:00:00+00:00,1,1,7,3
2025-05-22 00:00:00+00:00,64,12,20,5
2025-05-23 00:00:00+00:00,11,5,23,2
2025-05-24 00:00:00+00:00,14,6,9,4
2025-05-25 00:00:00+00:00,14,5,5,4
2025-05-26 00:00:00+00:00,73,10,36,5
2025-05-27 00:00:00+00:00,17,7,13,3
2025-05-28 00:00:00+00:00,11,5,32,6
2025-05-29 00:00:00+00:00,12,4,9,7
2025-05-30 00:00:00+00:00,101,14,35,2
2025-05-31 00:00:00+00:00,150,11,43,2
2025-06-01 00:00:00+00:00,84,11,22,4
2025-06-02 00:00:00+00:00,148,16,76,5
2025-06-03 00:00:00+00:00,77,10,28,4
2025-06-04 00:00:00+00:00,288,100,86,5
2025-06-05 00:00:00+00:00,501,42,26,6
